wacc_row,growth_column,wacc_delta,wacc,displayed_wacc,terminal_growth,illustrative_value_per_share,is_center,status,notes
1,1,-0.010,0.07487443827540290261078735104,0.075,0.015,49.75512346216536183743254224,false,valuation_calculated,Each cell recalculates the Base DCF at the stated full-precision WACC and terminal growth rate.
1,2,-0.010,0.07487443827540290261078735104,0.075,0.020,53.24875933907794034591582857,false,valuation_calculated,Each cell recalculates the Base DCF at the stated full-precision WACC and terminal growth rate.
1,3,-0.010,0.07487443827540290261078735104,0.075,0.025,57.44288147663188860106619727,false,valuation_calculated,Each cell recalculates the Base DCF at the stated full-precision WACC and terminal growth rate.
1,4,-0.010,0.07487443827540290261078735104,0.075,0.030,62.57163863107759795231832475,false,valuation_calculated,Each cell recalculates the Base DCF at the stated full-precision WACC and terminal growth rate.
1,5,-0.010,0.07487443827540290261078735104,0.075,0.035,68.98662259554697451152431909,false,valuation_calculated,Each cell recalculates the Base DCF at the stated full-precision WACC and terminal growth rate.
2,1,-0.005,0.07987443827540290261078735104,0.080,0.015,45.87840861411198115729859171,false,valuation_calculated,Each cell recalculates the Base DCF at the stated full-precision WACC and terminal growth rate.
2,2,-0.005,0.07987443827540290261078735104,0.080,0.020,48.76826863161732239845687085,false,valuation_calculated,Each cell recalculates the Base DCF at the stated full-precision WACC and terminal growth rate.
2,3,-0.005,0.07987443827540290261078735104,0.080,0.025,52.18476001125192329007957951,false,valuation_calculated,Each cell recalculates the Base DCF at the stated full-precision WACC and terminal growth rate.
2,4,-0.005,0.07987443827540290261078735104,0.080,0.030,56.28626990894360826756539267,false,valuation_calculated,Each cell recalculates the Base DCF at the stated full-precision WACC and terminal growth rate.
2,5,-0.005,0.07987443827540290261078735104,0.080,0.035,61.30177674015008046773524043,false,valuation_calculated,Each cell recalculates the Base DCF at the stated full-precision WACC and terminal growth rate.
3,1,0.000,0.08487443827540290261078735104,0.085,0.015,42.55857864447832394494348638,false,valuation_calculated,Each cell recalculates the Base DCF at the stated full-precision WACC and terminal growth rate.
3,2,0.000,0.08487443827540290261078735104,0.085,0.020,44.98042563536837417451980636,false,valuation_calculated,Each cell recalculates the Base DCF at the stated full-precision WACC and terminal growth rate.
3,3,0.000,0.08487443827540290261078735104,0.085,0.025,47.80676026082300158921320762,true,valuation_calculated,Each cell recalculates the Base DCF at the stated full-precision WACC and terminal growth rate.
3,4,0.000,0.08487443827540290261078735104,0.085,0.030,51.14814974866544370993658587,false,valuation_calculated,Each cell recalculates the Base DCF at the stated full-precision WACC and terminal growth rate.
3,5,0.000,0.08487443827540290261078735104,0.085,0.035,55.15949956155285983228743849,false,valuation_calculated,Each cell recalculates the Base DCF at the stated full-precision WACC and terminal growth rate.
4,1,0.005,0.08987443827540290261078735104,0.090,0.015,39.68402506077592624200349910,false,valuation_calculated,Each cell recalculates the Base DCF at the stated full-precision WACC and terminal growth rate.
4,2,0.005,0.08987443827540290261078735104,0.090,0.020,41.73649678983942944216732219,false,valuation_calculated,Each cell recalculates the Base DCF at the stated full-precision WACC and terminal growth rate.
4,3,0.005,0.08987443827540290261078735104,0.090,0.025,44.10534454983678296356206840,false,valuation_calculated,Each cell recalculates the Base DCF at the stated full-precision WACC and terminal growth rate.
4,4,0.005,0.08987443827540290261078735104,0.090,0.030,46.86982821527702779824025940,false,valuation_calculated,Each cell recalculates the Base DCF at the stated full-precision WACC and terminal growth rate.
4,5,0.005,0.08987443827540290261078735104,0.090,0.035,50.13809538216577967294384944,false,valuation_calculated,Each cell recalculates the Base DCF at the stated full-precision WACC and terminal growth rate.
5,1,0.010,0.09487443827540290261078735104,0.095,0.015,37.17108650575695114357112031,false,valuation_calculated,Each cell recalculates the Base DCF at the stated full-precision WACC and terminal growth rate.
5,2,0.010,0.09487443827540290261078735104,0.095,0.020,38.92747838952827327140977564,false,valuation_calculated,Each cell recalculates the Base DCF at the stated full-precision WACC and terminal growth rate.
5,3,0.010,0.09487443827540290261078735104,0.095,0.025,40.93523428095697139070420521,false,valuation_calculated,Each cell recalculates the Base DCF at the stated full-precision WACC and terminal growth rate.
5,4,0.010,0.09487443827540290261078735104,0.095,0.030,43.25247352897450603261559182,false,valuation_calculated,Each cell recalculates the Base DCF at the stated full-precision WACC and terminal growth rate.
5,5,0.010,0.09487443827540290261078735104,0.095,0.035,45.95672922587444843990390537,false,valuation_calculated,Each cell recalculates the Base DCF at the stated full-precision WACC and terminal growth rate.
